id,dataset,source_file,source_line_no,processed_file,original_id,question,choices,correct_answer,predicted_label,predicted_label_name,reason,classifier_model
gold_000001,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,720,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000720,What is the primary advantage of using multicast traffic?,A) Reduced network bandwidth usage | B) Faster data transmission speed | C) Improved network stability | D) Increased network security,A,SCLC00801,Infrastructure protection,Multicast traffic is a network infrastructure concept related to efficient data delivery across network systems.,anthropic/claude-sonnet-4.6
gold_000002,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,244,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000244,What is the primary purpose of the scripting engine in nmap?,A) To identify open ports | B) To extend the functionality of nmap through custom scripts | C) To randomize the hosts being scanned | D) To encrypt scan results,A,SCLC00801,Infrastructure protection,Nmap scripting engine relates to network scanning and infrastructure reconnaissance tools used in security assessments.,anthropic/claude-sonnet-4.6
gold_000003,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,571,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000571,What does the 'more eyeballs' principle imply in the context of open source software?,A) More users will be able to access the software. | B) The software will have fewer security flaws due to more people reviewing the code. | C) The software will be more likely to be targeted by attackers. | D) The software will have better customer support.,A,SCLC01601,General theory,The 'more eyeballs' principle is an abstract security theory concept about open source code review reducing vulnerabilities.,anthropic/claude-sonnet-4.6
gold_000004,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,629,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000629,How are random bit strings obtained for the generation of cryptographic keys?,A) By obtaining them from a public key infrastructure. | B) By generating them from a distributed RBG network. | C) By using a basic pseudo-random number generator algorithm. | D) By combining the output of an approved RBG and an independently selected bit string.,A,SCLC00701,Foundational concepts,"The question covers core cryptographic key generation concepts, specifically random bit generation methods fundamental to security.",anthropic/claude-sonnet-4.6
gold_000005,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1142,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001142,What is a characteristic of a security program at maturity mevel 3?,"A) Most critical systems are patched within a week using a specialized patch deployment tool | B) A comprehensive set of security policies, standards, and guidelines has been developed | C) Management is aware of security issues but does not fully support a solid security program | D) Security is not involved in the development of new systems from the beginning",A,SCLC01601,General theory,"The question addresses security maturity model levels, which is abstract security framework theory.",anthropic/claude-sonnet-4.6
gold_000006,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,299,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000299,"When attempting privilege escalation on a Linux system, what is the role of the 'escalate' program?",A) It configures the system for remote access | B) It runs a locally compiled exploit program on the target system | C) It uploads and executes attacks remotely | D) It retrieves password hashes from the Linux system,A,SCLC00901,Authentication/Authorization,Privilege escalation directly involves bypassing authorization controls to gain elevated access permissions on a system.,anthropic/claude-sonnet-4.6
gold_000007,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1258,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001258,"In the realm of business continuity planning, which capability of quantum computing is likely to assist in disaster response management?",A) Testing business continuity plans accurately through quantum simulations. | B) Implementing more efficient physical security measures for data centers. | C) Optimizing resource allocation for disaster response using new artificial intelligence methods. | D) Providing additional power backup and redundancy for crucial systems.,A,SCLC01901,Backups & recovery,"The question addresses business continuity planning and disaster response management, which falls under resilience and recovery topics.",anthropic/claude-sonnet-4.6
gold_000008,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1520,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001520,Which protocol is used for sending e-mail messages between servers?,A) HTTP | B) POP | C) SMTP | D) IMAP,A,SCLC00202,Email,"The question is about SMTP, the protocol used for sending email messages between servers.",anthropic/claude-sonnet-4.6
gold_000009,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/test.jsonl,4,data/processed/qwen_combined/mmlu/computer_security/test.jsonl,scale_c_000125,"In Message Condentiality, the transmitted message must make sense to only intended",A) Receiver | B) Sender | C) Modulor | D) Translator,A,SCLC02201,Secure communication,"Message confidentiality ensures transmitted data is readable only by the intended receiver, a core secure communication concept.",anthropic/claude-sonnet-4.6
gold_000010,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,698,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000698,Which DH group number is considered not NIST-approved?,A) 19 | B) 14 | C) 20 | D) 22,A,SCLC01202,SSL certificates,Diffie-Hellman groups relate to key exchange in TLS/SSL cryptographic protocols and certificate-based transport security.,anthropic/claude-sonnet-4.6
