id,dataset,source_file,source_line_no,question,correct_answer,gold_topic_id,gold_topic_name,gold_coarse_id,gold_coarse_name,gold_reason,embedding_topic_id,embedding_topic_name,embedding_coarse_id,embedding_coarse_name,embedding_model,embedding_matched,embedding_topic_id_match,embedding_topic_name_match,embedding_coarse_id_match,embedding_coarse_name_match,nli_topic_id,nli_topic_name,nli_coarse_id,nli_coarse_name,nli_model,nli_matched,nli_topic_id_match,nli_topic_name_match,nli_coarse_id_match,nli_coarse_name_match
gold_000001,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,720,What is the primary advantage of using multicast traffic?,A,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,Multicast traffic is a network infrastructure concept related to efficient data delivery across network systems.,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,yes,yes,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000002,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,244,What is the primary purpose of the scripting engine in nmap?,A,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,Nmap scripting engine relates to network scanning and infrastructure reconnaissance tools used in security assessments.,SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000003,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,571,What does the 'more eyeballs' principle imply in the context of open source software?,A,SCLC01601,General theory,SLCA001,Fundamentals & governance,The 'more eyeballs' principle is an abstract security theory concept about open source code review reducing vulnerabilities.,SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000004,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,629,How are random bit strings obtained for the generation of cryptographic keys?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,"The question covers core cryptographic key generation concepts, specifically random bit generation methods fundamental to security.",SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000005,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1142,What is a characteristic of a security program at maturity mevel 3?,A,SCLC01601,General theory,SLCA001,Fundamentals & governance,"The question addresses security maturity model levels, which is abstract security framework theory.",SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC00401,General hygiene,SLCA004,Defensive controls & hygiene,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000006,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,299,"When attempting privilege escalation on a Linux system, what is the role of the 'escalate' program?",A,SCLC00901,Authentication/Authorization,SLCA002,Identity & access,Privilege escalation directly involves bypassing authorization controls to gain elevated access permissions on a system.,SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000007,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1258,"In the realm of business continuity planning, which capability of quantum computing is likely to assist in disaster response management?",A,SCLC01901,Backups & recovery,SLCA004,Defensive controls & hygiene,"The question addresses business continuity planning and disaster response management, which falls under resilience and recovery topics.",SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000008,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1520,Which protocol is used for sending e-mail messages between servers?,A,SCLC00202,Email,SLCA003,Human & social threats,"The question is about SMTP, the protocol used for sending email messages between servers.",SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000009,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/test.jsonl,4,"In Message Condentiality, the transmitted message must make sense to only intended",A,SCLC02201,Secure communication,SLCA005,Network & secure comms,"Message confidentiality ensures transmitted data is readable only by the intended receiver, a core secure communication concept.",SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000010,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,698,Which DH group number is considered not NIST-approved?,A,SCLC01202,SSL certificates,SLCA005,Network & secure comms,Diffie-Hellman groups relate to key exchange in TLS/SSL cryptographic protocols and certificate-based transport security.,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000011,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,576,Which fundamental security issue is critical for a modern operating system to handle in a multi-user environment?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,Memory protection in multi-user OS environments is a core foundational security concept covering isolation and access control principles.,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000012,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,71,What is the loopback address in IPv6?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,IPv6 loopback address is a core networking/security vocabulary concept.,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
